questionId,title,titleSlug,difficulty,topic
1180,Count Substrings with Only One Distinct Letter,count-substrings-with-only-one-distinct-letter,EASY,Strings
1181,Before and After Puzzle,before-and-after-puzzle,MEDIUM,Strings
1189,Maximum Number of Balloons,maximum-number-of-balloons,EASY,Strings
1221,Split a String in Balanced Strings,split-a-string-in-balanced-strings,EASY,Strings
1234,Replace the Substring for Balanced String,replace-the-substring-for-balanced-string,MEDIUM,Strings
1247,Minimum Swaps to Make Strings Equal,minimum-swaps-to-make-strings-equal,MEDIUM,Strings
1256,Encode Number,encode-number,MEDIUM,Strings
1271,Hexspeak,hexspeak,EASY,Strings
1297,Maximum Number of Occurrences of a Substring,maximum-number-of-occurrences-of-a-substring,MEDIUM,Strings
1309,Decrypt String from Alphabet to Integer Mapping,decrypt-string-from-alphabet-to-integer-mapping,EASY,Strings
1316,Distinct Echo Substrings,distinct-echo-substrings,HARD,Strings
1324,Print Words Vertically,print-words-vertically,MEDIUM,Strings
1328,Break a Palindrome,break-a-palindrome,MEDIUM,Strings
1332,Remove Palindromic Subsequences,remove-palindromic-subsequences,EASY,Strings
1347,Minimum Number of Steps to Make Two Strings Anagram,minimum-number-of-steps-to-make-two-strings-anagram,MEDIUM,Strings
1358,Number of Substrings Containing All Three Characters,number-of-substrings-containing-all-three-characters,MEDIUM,Strings
1360,Number of Days Between Two Dates,number-of-days-between-two-dates,EASY,Strings
1366,Rank Teams by Votes,rank-teams-by-votes,MEDIUM,Strings
1370,Increasing Decreasing String,increasing-decreasing-string,EASY,Strings
1371,Find the Longest Substring Containing Vowels in Even Counts,find-the-longest-substring-containing-vowels-in-even-counts,MEDIUM,Strings
1374,Generate a String With Characters That Have Odd Counts,generate-a-string-with-characters-that-have-odd-counts,EASY,Strings
1392,Longest Happy Prefix,longest-happy-prefix,HARD,Strings
1396,Design Underground System,design-underground-system,MEDIUM,Strings
1400,Construct K Palindrome Strings,construct-k-palindrome-strings,MEDIUM,Strings
1404,Number of Steps to Reduce a Number in Binary Representation to One,number-of-steps-to-reduce-a-number-in-binary-representation-to-one,MEDIUM,Strings
1405,Longest Happy String,longest-happy-string,MEDIUM,Strings
1408,String Matching in an Array,string-matching-in-an-array,EASY,Strings
1410,HTML Entity Parser,html-entity-parser,MEDIUM,Strings
1417,Reformat The String,reformat-the-string,EASY,Strings
1418,Display Table of Food Orders in a Restaurant,display-table-of-food-orders-in-a-restaurant,MEDIUM,Strings
1419,Minimum Number of Frogs Croaking,minimum-number-of-frogs-croaking,MEDIUM,Strings
1422,Maximum Score After Splitting a String,maximum-score-after-splitting-a-string,EASY,Strings
1427,Perform String Shifts,perform-string-shifts,EASY,Strings
1433,Check If a String Can Break Another String,check-if-a-string-can-break-another-string,MEDIUM,Strings
1436,Destination City,destination-city,EASY,Strings
1446,Consecutive Characters,consecutive-characters,EASY,Strings
1447,Simplified Fractions,simplified-fractions,MEDIUM,Strings
1451,Rearrange Words in a Sentence,rearrange-words-in-a-sentence,MEDIUM,Strings
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,MEDIUM,Strings
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,EASY,Strings
1456,Maximum Number of Vowels in a Substring of Given Length,maximum-number-of-vowels-in-a-substring-of-given-length,MEDIUM,Strings
1461,Check If a String Contains All Binary Codes of Size K,check-if-a-string-contains-all-binary-codes-of-size-k,MEDIUM,Strings
1487,Making File Names Unique,making-file-names-unique,MEDIUM,Strings
1496,Path Crossing,path-crossing,EASY,Strings
1505,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,HARD,Strings
1507,Reformat Date,reformat-date,EASY,Strings
1513,Number of Substrings With Only 1s,number-of-substrings-with-only-1s,MEDIUM,Strings
1520,Maximum Number of Non-Overlapping Substrings,maximum-number-of-non-overlapping-substrings,HARD,Strings
1528,Shuffle String,shuffle-string,EASY,Strings
1529,Minimum Suffix Flips,minimum-suffix-flips,MEDIUM,Strings
1540,Can Convert String in K Moves,can-convert-string-in-k-moves,MEDIUM,Strings
1542,Find Longest Awesome Substring,find-longest-awesome-substring,HARD,Strings
1554,Strings Differ by One Character,strings-differ-by-one-character,MEDIUM,Strings
1556,Thousand Separator,thousand-separator,EASY,Strings
1573,Number of Ways to Split a String,number-of-ways-to-split-a-string,MEDIUM,Strings
1576,Replace All ?'s to Avoid Consecutive Repeating Characters,replace-all-s-to-avoid-consecutive-repeating-characters,EASY,Strings
1585,Check If String Is Transformable With Substring Sort Operations,check-if-string-is-transformable-with-substring-sort-operations,HARD,Strings
1592,Rearrange Spaces Between Words,rearrange-spaces-between-words,EASY,Strings
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,MEDIUM,Strings
1616,Split Two Strings to Make Palindrome,split-two-strings-to-make-palindrome,MEDIUM,Strings
1624,Largest Substring Between Two Equal Characters,largest-substring-between-two-equal-characters,EASY,Strings
1629,Slowest Key,slowest-key,EASY,Strings
1647,Minimum Deletions to Make Character Frequencies Unique,minimum-deletions-to-make-character-frequencies-unique,MEDIUM,Strings
1657,Determine if Two Strings Are Close,determine-if-two-strings-are-close,MEDIUM,Strings
1662,Check If Two String Arrays are Equivalent,check-if-two-string-arrays-are-equivalent,EASY,Strings
1663,Smallest String With A Given Numeric Value,smallest-string-with-a-given-numeric-value,MEDIUM,Strings
1678,Goal Parser Interpretation,goal-parser-interpretation,EASY,Strings
1684,Count the Number of Consistent Strings,count-the-number-of-consistent-strings,EASY,Strings
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,partitioning-into-minimum-number-of-deci-binary-numbers,MEDIUM,Strings
1694,Reformat Phone Number,reformat-phone-number,EASY,Strings
1698,Number of Distinct Substrings in a String,number-of-distinct-substrings-in-a-string,MEDIUM,Strings
1702,Maximum Binary String After Change,maximum-binary-string-after-change,MEDIUM,Strings
1704,Determine if String Halves Are Alike,determine-if-string-halves-are-alike,EASY,Strings
1736,Latest Time by Replacing Hidden Digits,latest-time-by-replacing-hidden-digits,EASY,Strings
1737,Change Minimum Characters to Satisfy One of Three Conditions,change-minimum-characters-to-satisfy-one-of-three-conditions,MEDIUM,Strings
1750,Minimum Length of String After Deleting Similar Ends,minimum-length-of-string-after-deleting-similar-ends,MEDIUM,Strings
1754,Largest Merge Of Two Strings,largest-merge-of-two-strings,MEDIUM,Strings
1758,Minimum Changes To Make Alternating Binary String,minimum-changes-to-make-alternating-binary-string,EASY,Strings
1759,Count Number of Homogenous Substrings,count-number-of-homogenous-substrings,MEDIUM,Strings
1768,Merge Strings Alternately,merge-strings-alternately,EASY,Strings
1769,Minimum Number of Operations to Move All Balls to Each Box,minimum-number-of-operations-to-move-all-balls-to-each-box,MEDIUM,Strings
1772,Sort Features by Popularity,sort-features-by-popularity,MEDIUM,Strings
1773,Count Items Matching a Rule,count-items-matching-a-rule,EASY,Strings
1781,Sum of Beauty of All Substrings,sum-of-beauty-of-all-substrings,MEDIUM,Strings
1784,Check if Binary String Has at Most One Segment of Ones,check-if-binary-string-has-at-most-one-segment-of-ones,EASY,Strings
1790,Check if One String Swap Can Make Strings Equal,check-if-one-string-swap-can-make-strings-equal,EASY,Strings
1794,Count Pairs of Equal Substrings With Minimum Difference,count-pairs-of-equal-substrings-with-minimum-difference,MEDIUM,Strings
1796,Second Largest Digit in a String,second-largest-digit-in-a-string,EASY,Strings
1804,Implement Trie II (Prefix Tree),implement-trie-ii-prefix-tree,MEDIUM,Strings
1805,Number of Different Integers in a String,number-of-different-integers-in-a-string,EASY,Strings
1807,Evaluate the Bracket Pairs of a String,evaluate-the-bracket-pairs-of-a-string,MEDIUM,Strings
1812,Determine Color of a Chessboard Square,determine-color-of-a-chessboard-square,EASY,Strings
1813,Sentence Similarity III,sentence-similarity-iii,MEDIUM,Strings
1816,Truncate Sentence,truncate-sentence,EASY,Strings
1830,Minimum Number of Operations to Make String Sorted,minimum-number-of-operations-to-make-string-sorted,HARD,Strings
1832,Check if the Sentence Is Pangram,check-if-the-sentence-is-pangram,EASY,Strings
1839,Longest Substring Of All Vowels in Order,longest-substring-of-all-vowels-in-order,MEDIUM,Strings
1842,Next Palindrome Using Same Digits,next-palindrome-using-same-digits,HARD,Strings
1844,Replace All Digits with Characters,replace-all-digits-with-characters,EASY,Strings
1850,Minimum Adjacent Swaps to Reach the Kth Smallest Number,minimum-adjacent-swaps-to-reach-the-kth-smallest-number,MEDIUM,Strings
1859,Sorting the Sentence,sorting-the-sentence,EASY,Strings
1864,Minimum Number of Swaps to Make the Binary String Alternating,minimum-number-of-swaps-to-make-the-binary-string-alternating,MEDIUM,Strings
1869,Longer Contiguous Segments of Ones than Zeros,longer-contiguous-segments-of-ones-than-zeros,EASY,Strings
1876,Substrings of Size Three with Distinct Characters,substrings-of-size-three-with-distinct-characters,EASY,Strings
1880,Check if Word Equals Summation of Two Words,check-if-word-equals-summation-of-two-words,EASY,Strings
1881,Maximum Value after Insertion,maximum-value-after-insertion,MEDIUM,Strings
1897,Redistribute Characters to Make All Strings Equal,redistribute-characters-to-make-all-strings-equal,EASY,Strings
1903,Largest Odd Number in String,largest-odd-number-in-string,EASY,Strings
1904,The Number of Full Rounds You Have Played,the-number-of-full-rounds-you-have-played,MEDIUM,Strings
1915,Number of Wonderful Substrings,number-of-wonderful-substrings,MEDIUM,Strings
1927,Sum Game,sum-game,MEDIUM,Strings
1930,Unique Length-3 Palindromic Subsequences,unique-length-3-palindromic-subsequences,MEDIUM,Strings
1933,Check if String Is Decomposable Into Value-Equal Substrings,check-if-string-is-decomposable-into-value-equal-substrings,EASY,Strings
1935,Maximum Number of Words You Can Type,maximum-number-of-words-you-can-type,EASY,Strings
1941,Check if All Characters Have Equal Number of Occurrences,check-if-all-characters-have-equal-number-of-occurrences,EASY,Strings
1945,Sum of Digits of String After Convert,sum-of-digits-of-string-after-convert,EASY,Strings
1946,Largest Number After Mutating Substring,largest-number-after-mutating-substring,MEDIUM,Strings
1948,Delete Duplicate Folders in System,delete-duplicate-folders-in-system,HARD,Strings
1957,Delete Characters to Make Fancy String,delete-characters-to-make-fancy-string,EASY,Strings
1960,Maximum Product of the Length of Two Palindromic Substrings,maximum-product-of-the-length-of-two-palindromic-substrings,HARD,Strings
1961,Check If String Is a Prefix of Array,check-if-string-is-a-prefix-of-array,EASY,Strings
1967,Number of Strings That Appear as Substrings in Word,number-of-strings-that-appear-as-substrings-in-word,EASY,Strings
1974,Minimum Time to Type Word Using Special Typewriter,minimum-time-to-type-word-using-special-typewriter,EASY,Strings
2011,Final Value of Variable After Performing Operations,final-value-of-variable-after-performing-operations,EASY,Strings
2023,Number of Pairs of Strings With Concatenation Equal to Target,number-of-pairs-of-strings-with-concatenation-equal-to-target,MEDIUM,Strings
2027,Minimum Moves to Convert String,minimum-moves-to-convert-string,EASY,Strings
2038,Remove Colored Pieces if Both Neighbors are the Same Color,remove-colored-pieces-if-both-neighbors-are-the-same-color,MEDIUM,Strings
2042,Check if Numbers Are Ascending in a Sentence,check-if-numbers-are-ascending-in-a-sentence,EASY,Strings
2047,Number of Valid Words in a Sentence,number-of-valid-words-in-a-sentence,EASY,Strings
2053,Kth Distinct String in an Array,kth-distinct-string-in-an-array,EASY,Strings
2062,Count Vowel Substrings of a String,count-vowel-substrings-of-a-string,EASY,Strings
2067,Number of Equal Count Substrings,number-of-equal-count-substrings,MEDIUM,Strings
2068,Check Whether Two Strings are Almost Equivalent,check-whether-two-strings-are-almost-equivalent,EASY,Strings
2075,Decode the Slanted Ciphertext,decode-the-slanted-ciphertext,MEDIUM,Strings
2083,Substrings That Begin and End With the Same Letter,substrings-that-begin-and-end-with-the-same-letter,MEDIUM,Strings
2085,Count Common Words With One Occurrence,count-common-words-with-one-occurrence,EASY,Strings
2103,Rings and Rods,rings-and-rods,EASY,Strings
2108,Find First Palindromic String in the Array,find-first-palindromic-string-in-the-array,EASY,Strings
2109,Adding Spaces to a String,adding-spaces-to-a-string,MEDIUM,Strings
2114,Maximum Number of Words Found in Sentences,maximum-number-of-words-found-in-sentences,EASY,Strings
2120,Execution of All Suffix Instructions Staying in a Grid,execution-of-all-suffix-instructions-staying-in-a-grid,MEDIUM,Strings
2124,Check if All A's Appears Before All B's,check-if-all-as-appears-before-all-bs,EASY,Strings
2125,Number of Laser Beams in a Bank,number-of-laser-beams-in-a-bank,MEDIUM,Strings
2129,Capitalize the Title,capitalize-the-title,EASY,Strings
2131,Longest Palindrome by Concatenating Two Letter Words,longest-palindrome-by-concatenating-two-letter-words,MEDIUM,Strings
2135,Count Words Obtained After Adding a Letter,count-words-obtained-after-adding-a-letter,MEDIUM,Strings
2138,Divide a String Into Groups of Size k,divide-a-string-into-groups-of-size-k,EASY,Strings
2156,Find Substring With Given Hash Value,find-substring-with-given-hash-value,HARD,Strings
2166,Design Bitset,design-bitset,MEDIUM,Strings
2168,Unique Substrings With Equal Digit Frequency,unique-substrings-with-equal-digit-frequency,MEDIUM,Strings
2182,Construct String With Repeat Limit,construct-string-with-repeat-limit,MEDIUM,Strings
2185,Counting Words With a Given Prefix,counting-words-with-a-given-prefix,EASY,Strings
2186,Minimum Number of Steps to Make Two Strings Anagram II,minimum-number-of-steps-to-make-two-strings-anagram-ii,MEDIUM,Strings
2193,Minimum Number of Moves to Make Palindrome,minimum-number-of-moves-to-make-palindrome,HARD,Strings
2194,Cells in a Range on an Excel Sheet,cells-in-a-range-on-an-excel-sheet,EASY,Strings
2207,Maximize Number of Subsequences in a String,maximize-number-of-subsequences-in-a-string,MEDIUM,Strings
2213,Longest Substring of One Repeating Character,longest-substring-of-one-repeating-character,HARD,Strings
2224,Minimum Number of Operations to Convert Time,minimum-number-of-operations-to-convert-time,EASY,Strings
2227,Encrypt and Decrypt Strings,encrypt-and-decrypt-strings,HARD,Strings
2232,Minimize Result by Adding Parentheses to Expression,minimize-result-by-adding-parentheses-to-expression,MEDIUM,Strings
2243,Calculate Digit Sum of a String,calculate-digit-sum-of-a-string,EASY,Strings
2255,Count Prefixes of a Given String,count-prefixes-of-a-given-string,EASY,Strings
2259,Remove Digit From Number to Maximize Result,remove-digit-from-number-to-maximize-result,EASY,Strings
2264,Largest 3-Same-Digit Number in String,largest-3-same-digit-number-in-string,EASY,Strings
2268,Minimum Number of Keypresses,minimum-number-of-keypresses,MEDIUM,Strings
2269,Find the K-Beauty of a Number,find-the-k-beauty-of-a-number,EASY,Strings
2273,Find Resultant Array After Removing Anagrams,find-resultant-array-after-removing-anagrams,EASY,Strings
2278,Percentage of Letter in String,percentage-of-letter-in-string,EASY,Strings
2283,Check if Number Has Equal Digit Count and Digit Value,check-if-number-has-equal-digit-count-and-digit-value,EASY,Strings
2284,Sender With Largest Word Count,sender-with-largest-word-count,MEDIUM,Strings
2287,Rearrange Characters to Make Target String,rearrange-characters-to-make-target-string,EASY,Strings
2288,Apply Discount to Prices,apply-discount-to-prices,MEDIUM,Strings
2299,Strong Password Checker II,strong-password-checker-ii,EASY,Strings
2301,Match Substring After Replacement,match-substring-after-replacement,HARD,Strings
2306,Naming a Company,naming-a-company,HARD,Strings
2309,Greatest English Letter in Upper and Lower Case,greatest-english-letter-in-upper-and-lower-case,EASY,Strings
2315,Count Asterisks,count-asterisks,EASY,Strings
2325,Decode the Message,decode-the-message,EASY,Strings
2330,Valid Palindrome IV,valid-palindrome-iv,MEDIUM,Strings
2337,Move Pieces to Obtain a String,move-pieces-to-obtain-a-string,MEDIUM,Strings
2351,First Letter to Appear Twice,first-letter-to-appear-twice,EASY,Strings
2353,Design a Food Rating System,design-a-food-rating-system,MEDIUM,Strings
2379,Minimum Recolors to Get K Consecutive Black Blocks,minimum-recolors-to-get-k-consecutive-black-blocks,EASY,Strings
2381,Shifting Letters II,shifting-letters-ii,MEDIUM,Strings
2384,Largest Palindromic Number,largest-palindromic-number,MEDIUM,Strings
2391,Minimum Amount of Time to Collect Garbage,minimum-amount-of-time-to-collect-garbage,MEDIUM,Strings
2399,Check Distances Between Same Letters,check-distances-between-same-letters,EASY,Strings
2405,Optimal Partition of String,optimal-partition-of-string,MEDIUM,Strings
2408,Design SQL,design-sql,MEDIUM,Strings
2409,Count Days Spent Together,count-days-spent-together,EASY,Strings
2414,Length of the Longest Alphabetical Continuous Substring,length-of-the-longest-alphabetical-continuous-substring,MEDIUM,Strings
2416,Sum of Prefix Scores of Strings,sum-of-prefix-scores-of-strings,HARD,Strings
2418,Sort the People,sort-the-people,EASY,Strings
2423,Remove Letter To Equalize Frequency,remove-letter-to-equalize-frequency,EASY,Strings
2437,Number of Valid Clock Times,number-of-valid-clock-times,EASY,Strings
2446,Determine if Two Events Have Conflict,determine-if-two-events-have-conflict,EASY,Strings
